iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0005,4,2,4,0,0,0,0,0,0,7905.08,-1.03739e-12,0,-4.54747e-13,-1351.65,9827.02,0,0,0,0,0,0,4356.75,7.56352,1.01079,-0.0808003,-738.16,5966.16
2,0.001,4,2,4,0,0,0,0,0,0,5595.86,42.8507,15.1315,-12.6985,-1121.02,6724.28,0,0,0,0,0,0,2995.1,20.1424,6.04785,-4.36371,-621.428,4023.35
3,0.0015,4,2,4,0,0,0,0,0,0,3102.53,82.2479,31.496,-24.9479,-622.344,3626.72,0,0,0,0,0,0,1570.5,27.7461,7.11885,-4.3858,-336.338,2136.97
4,0.002,4,2,4,0,0,0,0,0,0,1620.22,111.35,46.3866,-35.5565,-307.567,1811.34,0,0,0,0,0,0,738.689,32.0858,7.29962,-3.75062,-156.68,1037.95
5,0.0025,4,2,4,0,0,0,0,0,0,881.068,131.471,58.8642,-42.2647,-153.913,887.251,0,0,0,0,0,0,335.47,34.4629,7.93257,-3.94969,-70.5186,495.825
6,0.003,4,2,4,0,0,0,0,0,0,538.736,145.366,68.8482,-49.102,-87.3907,467.758,0,0,0,0,0,0,157.852,35.6978,9.00356,-4.85645,-34.5386,248.732
7,0.0035,4,2,4,0,0,0,0,0,0,381.453,155.226,76.5578,-55.1918,-59.8488,291.087,0,0,0,0,0,0,83.2885,36.3597,10.2053,-6.03211,-20.4468,139.448
8,0.004,4,2,4,0,0,0,0,0,0,304.62,162.467,82.3813,-59.7636,-47.8707,212.332,0,0,0,0,0,0,51.8904,36.6855,11.3679,-7.26653,-14.725,90.1698
9,0.0045,4,2,4,0,0,0,0,0,0,261.853,167.932,86.8456,-63.2669,-41.7319,174.641,0,0,0,0,0,0,37.6067,36.7737,12.378,-8.42211,-11.8914,66.1894
10,0.005,4,2,4,0,0,0,0,0,0,233.978,172.164,90.2741,-65.9085,-37.8402,154.179,0,0,0,0,0,0,29.9924,36.7394,13.1703,-9.39011,-9.98315,52.9478
11,0.0055,4,2,4,0,0,0,0,0,0,213.418,175.535,92.9442,-67.91,-34.9718,141.455,0,0,0,0,0,0,25.095,36.5699,13.778,-10.1715,-8.40181,44.5536
12,0.006,4,2,4,0,0,0,0,0,0,197.091,178.292,95.0981,-69.5111,-32.7303,132.678,0,0,0,0,0,0,21.4323,36.2926,14.2594,-10.8097,-7.03857,38.5581
13,0.0065,4,2,4,0,0,0,0,0,0,183.532,180.589,96.867,-70.8049,-30.9878,126.121,0,0,0,0,0,0,18.5229,35.9653,14.6326,-11.3235,-5.86891,34.0071
14,0.007,4,2,4,0,0,0,0,0,0,172.124,182.596,98.3618,-71.9183,-29.6357,121.127,0,0,0,0,0,0,16.0993,35.604,14.973,-11.8247,-4.91297,30.3493
15,0.0075,4,2,4,0,0,0,0,0,0,162.386,184.394,99.6965,-72.9183,-28.6175,117.247,0,0,0,0,0,0,14.1465,35.2174,15.2859,-12.2967,-4.08546,27.5221
16,0.008,4,2,4,0,0,0,0,0,0,153.941,186.013,100.907,-73.8159,-27.8849,114.04,0,0,0,0,0,0,12.5843,34.869,15.5746,-12.7601,-3.36632,25.4022
17,0.0085,4,2,4,0,0,0,0,0,0,146.562,187.558,102.072,-74.6524,-27.3794,111.364,0,0,0,0,0,0,11.3314,34.6266,15.8125,-13.1795,-2.74277,23.8249
18,0.009,4,2,4,0,0,0,0,0,0,140.051,189.062,103.172,-75.4141,-27.052,109.104,0,0,0,0,0,0,10.2451,34.4304,16.0017,-13.5215,-2.23101,22.5
19,0.0095,4,2,4,0,0,0,0,0,0,134.17,190.557,104.251,-76.196,-26.9016,107.154,0,0,0,0,0,0,9.28639,34.2782,16.1987,-13.8828,-1.82438,21.3839
20,0.01,4,2,4,0,0,0,0,0,0,128.818,192.043,105.304,-76.9641,-26.9041,105.456,0,0,0,0,0,0,8.4368,34.1441,16.3831,-14.2248,-1.49219,20.4439
21,0.0105,4,2,4,0,0,0,0,0,0,123.931,193.529,106.317,-77.6746,-27.0159,104.046,0,0,0,0,0,0,7.67768,34.0059,16.5397,-14.5113,-1.21107,19.621
22,0.011,4,2,4,0,0,0,0,0,0,119.454,194.994,107.293,-78.3072,-27.1987,102.909,0,0,0,0,0,0,6.93252,33.8395,16.6662,-14.7206,-0.982749,18.7808
23,0.0115,4,2,4,0,0,0,0,0,0,115.333,196.407,108.223,-79.109,-27.4286,103.231,0,0,0,0,0,0,6.23168,33.669,16.7687,-14.8844,-0.799377,17.9801
24,0.012,4,2,4,0,0,0,0,0,0,111.536,197.761,109.097,-79.6463,-27.6814,102.422,0,0,0,0,0,0,5.66801,33.5667,16.8166,-14.9596,-0.595608,17.4474
25,0.0125,4,2,4,0,0,0,0,0,0,108.06,199.047,109.901,-80.1007,-27.9312,101.734,0,0,0,0,0,0,5.16404,33.5062,16.8656,-15.0361,-0.409006,17.0267
26,0.013,4,2,4,0,0,0,0,0,0,104.803,200.236,110.681,-80.5596,-28.2219,101.066,0,0,0,0,0,0,4.78347,33.4252,16.8826,-15.0733,-0.223346,16.8147
27,0.0135,4,2,4,0,0,0,0,0,0,101.756,201.363,111.415,-81.0079,-28.5275,100.433,0,0,0,0,0,0,4.42898,33.3624,16.894,-15.0993,-0.0727701,16.6338
28,0.014,4,2,4,0,0,0,0,0,0,98.8877,202.396,112.052,-82.9781,-28.8403,111.252,0,0,0,0,0,0,4.11299,33.312,16.9405,-15.1989,0.0577111,16.5059
29,0.0145,4,2,4,0,0,0,0,0,0,96.156,203.331,112.64,-83.3667,-29.1875,110.59,0,0,0,0,0,0,3.84542,33.2714,17.0119,-15.3653,0.169383,16.4594
30,0.015,4,2,4,0,0,0,0,0,0,93.5167,204.185,113.213,-83.7646,-29.5818,109.943,0,0,0,0,0,0,3.62833,33.2479,17.0689,-15.5299,0.290321,16.5003
31,0.0155,4,2,4,0,0,0,0,0,0,90.9569,204.943,113.761,-86.0153,-30.0071,112.032,0,0,0,0,0,0,3.46851,33.2102,17.1243,-15.6825,0.40451,16.6089
32,0.016,4,2,4,0,0,0,0,0,0,88.5051,205.627,114.315,-86.4469,-30.4556,111.407,0,0,0,0,0,0,3.31581,33.1846,17.201,-15.8682,0.475172,16.7004
33,0.0165,4,2,4,0,0,0,0,0,0,86.1376,206.268,114.853,-86.8633,-30.9199,110.765,0,0,0,0,0,0,3.19086,33.1644,17.241,-15.9966,0.54444,16.8226
