iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
0,0.0,4,2,4,0,0,0,0,0,0,-6943.66,-6.68001e-05,-1177.49,-302.02,-0.00342112,2668.7,0,0,0,0,0,0,-1834.23,0.00117471,1083.82,435.274,9.39915e-05,774.269
1,0.00025,4,2,4,0,0,0,0,0,0,-5758.03,-0.494635,-2965.32,-962.967,-1.2965,2101.82,0,0,0,0,0,0,-934.781,0.27148,343.412,125.253,1.23329,393.608
2,0.0005,4,2,4,0,0,0,0,0,0,-4927.15,-11.36,-3634.23,-1163.6,-9.50226,1714.47,0,0,0,0,0,0,-505.398,1.21873,-15.5247,-8.42533,3.2297,221.106
3,0.00075,4,2,4,0,0,0,0,0,0,-4327.37,-27.2537,-3632.34,-1120.8,-23.1412,1434.18,0,0,0,0,0,0,-324.191,-2.07304,-123.898,-43.4543,3.09273,147.553
4,0.001,4,2,4,0,0,0,0,0,0,-3823.83,-39.9715,-3352.14,-988.261,-36.9829,1210.12,0,0,0,0,0,0,-245.089,-4.66836,-136.319,-42.9293,2.50809,114.697
5,0.00125,4,2,4,0,0,0,0,0,0,-3369.73,-49.806,-2983.71,-837.073,-49.4652,1022.08,0,0,0,0,0,0,-205.866,-6.69491,-118.608,-32.1577,1.86724,99.0055
6,0.0015,4,2,4,0,0,0,0,0,0,-2956.85,-57.2692,-2609.08,-695.526,-60.2096,862.816,0,0,0,0,0,0,-181.644,-8.2113,-94.0137,-19.4576,1.26133,89.4763
7,0.00175,4,2,4,0,0,0,0,0,0,-2586.36,-62.8453,-2261.32,-573.105,-69.2455,729.037,0,0,0,0,0,0,-163.21,-9.16973,-70.3767,-7.92722,0.740237,81.8716
8,0.002,4,2,4,0,0,0,0,0,0,-2259.5,-66.9091,-1952.23,-471.635,-76.8009,618.267,0,0,0,0,0,0,-147.707,-9.85798,-50.0027,1.40785,0.319273,75.1614
9,0.00225,4,2,4,0,0,0,0,0,0,-1975.08,-69.8002,-1684.06,-389.769,-83.0275,527.636,0,0,0,0,0,0,-134.153,-10.5354,-33.4877,8.253,-0.0173292,69.2349
10,0.0025,4,2,4,0,0,0,0,0,0,-1730.45,-71.8165,-1454.71,-324.744,-88.1014,454.551,0,0,0,0,0,0,-122.257,-11.3933,-20.3382,13.0843,-0.281262,64.3477
11,0.00275,4,2,4,0,0,0,0,0,0,-1521.96,-73.093,-1259.94,-273.395,-92.0971,396.3,0,0,0,0,0,0,-112.424,-12.1499,-9.86735,16.5257,-0.515737,60.8249
12,0.003,4,2,4,0,0,0,0,0,0,-1345.23,-73.9135,-1095.04,-232.697,-95.0454,350.215,0,0,0,0,0,0,-104.285,-12.4728,-1.39768,19.1578,-0.648768,58.0952
13,0.00325,4,2,4,0,0,0,0,0,0,-1195.97,-74.4264,-955.963,-200.595,-97.1609,313.911,0,0,0,0,0,0,-97.116,-12.364,5.52413,21.2337,-0.700882,55.6103
14,0.0035,4,2,4,0,0,0,0,0,0,-1069.93,-74.7078,-838.996,-175.463,-98.6453,285.094,0,0,0,0,0,0,-91.3492,-12.2426,11.3321,22.9595,-0.64755,53.8116
15,0.00375,4,2,4,0,0,0,0,0,0,-963.29,-74.7901,-740.821,-155.964,-99.5826,262.001,0,0,0,0,0,0,-86.2248,-12.2454,15.7556,23.9599,-0.589801,52.146
16,0.004,4,2,4,0,0,0,0,0,0,-873.076,-74.7598,-658.607,-140.964,-100.173,243.501,0,0,0,0,0,0,-81.9486,-12.3764,19.41,24.7204,-0.455354,50.9751
17,0.00425,4,2,4,0,0,0,0,0,0,-796.678,-74.6542,-589.664,-129.337,-100.539,228.669,0,0,0,0,0,0,-78.4158,-12.4465,22.3844,25.3187,-0.314772,50.1149
18,0.0045,4,2,4,0,0,0,0,0,0,-731.966,-74.4853,-531.683,-120.159,-100.723,216.874,0,0,0,0,0,0,-75.2514,-12.2253,24.8205,25.8162,-0.158643,49.181
19,0.00475,4,2,4,0,0,0,0,0,0,-677.167,-74.3056,-482.966,-112.955,-100.807,207.554,0,0,0,0,0,0,-72.547,-11.9231,26.882,26.2508,0.0052832,48.3222
20,0.005,4,2,4,0,0,0,0,0,0,-630.708,-74.1795,-442.107,-107.426,-100.867,200.121,0,0,0,0,0,0,-70.1766,-11.6036,28.5365,26.5152,0.168599,47.5291
21,0.00525,4,2,4,0,0,0,0,0,0,-591.132,-74.0462,-407.543,-103.099,-100.826,194.031,0,0,0,0,0,0,-68.2506,-11.4988,29.8293,26.635,0.31007,47.0333
22,0.0055,4,2,4,0,0,0,0,0,0,-557.262,-73.9542,-378.37,-99.8407,-100.746,188.963,0,0,0,0,0,0,-66.6265,-11.4143,30.8502,26.6125,0.461187,46.6464
23,0.00575,4,2,4,0,0,0,0,0,0,-528.27,-73.8849,-353.704,-97.3313,-100.646,184.785,0,0,0,0,0,0,-65.2248,-11.3019,31.8895,26.8135,0.659362,46.3528
24,0.006,4,2,4,0,0,0,0,0,0,-503.353,-73.8101,-332.823,-95.3779,-100.539,181.329,0,0,0,0,0,0,-63.9366,-10.9649,32.7765,26.9951,0.856105,45.9287
25,0.00625,4,2,4,0,0,0,0,0,0,-481.886,-73.756,-315.256,-93.9446,-100.442,178.497,0,0,0,0,0,0,-62.743,-10.6527,33.4566,27.0998,1.0362,45.5135
26,0.0065,4,2,4,0,0,0,0,0,0,-463.35,-73.8115,-300.492,-92.9069,-100.361,176.188,0,0,0,0,0,0,-61.6371,-10.246,33.9182,26.9948,1.23369,44.9591
27,0.00675,4,2,4,0,0,0,0,0,0,-447.225,-73.8871,-287.999,-92.0176,-100.321,174.215,0,0,0,0,0,0,-60.8326,-10.0251,34.3243,26.9171,1.45443,44.7224
