iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,2,4,0,0,0,0,0,0,-5498.61,-2.83291e-14,0,117.011,-1.66267e-12,2187.15,0,0,0,0,0,0,-3909.19,-3.08998e-15,0,78.8019,-1.29107e-12,1522.53
0,0,4,2,4,0,0,0,0,0,0,-6946.8,-0.000719056,-960.757,-211.067,-0.00490156,2654.57,0,0,0,0,0,0,-2434.7,0.00237899,1175.77,466.562,0.000204112,1043.11
1,0.0005,4,2,4,0,0,0,0,0,0,-5583.94,-1.28483,-2394.82,-715.746,-1.54312,2012.7,0,0,0,0,0,0,-1437.71,1.97702,385.398,140.724,3.5481,608.791
2,0.001,4,2,4,0,0,0,0,0,0,-4409.07,-23.4284,-2885.18,-841.956,-15.4946,1506.56,0,0,0,0,0,0,-848.508,-0.2139,-55.668,-12.6129,8.65941,368.42
3,0.0015,4,2,4,0,0,0,0,0,0,-3525.31,-50.9902,-2744.82,-762.552,-38.8768,1137.17,0,0,0,0,0,0,-548.064,-9.82394,-193.463,-52.6936,7.36599,242.195
4,0.002,4,2,4,0,0,0,0,0,0,-2839.92,-70.8649,-2357.55,-618.017,-60.4037,868.558,0,0,0,0,0,0,-396.987,-17.0502,-198.258,-48.0305,4.63199,178.593
5,0.0025,4,2,4,0,0,0,0,0,0,-2289.64,-84.0937,-1925.87,-474.639,-76.9354,671.291,0,0,0,0,0,0,-312.259,-21.7992,-160.199,-30.4734,2.40005,143.882
6,0.003,4,2,4,0,0,0,0,0,0,-1844.79,-92.5808,-1533.4,-355.696,-88.5023,526.178,0,0,0,0,0,0,-256.337,-25.1908,-115.638,-12.6722,0.81512,121.89
7,0.0035,4,2,4,0,0,0,0,0,0,-1488.56,-97.741,-1206.28,-265.261,-96.0813,420.253,0,0,0,0,0,0,-215.128,-27.1668,-76.7491,1.54708,-0.281876,106.591
8,0.004,4,2,4,0,0,0,0,0,0,-1208.21,-100.693,-946.25,-200.235,-100.909,344.244,0,0,0,0,0,0,-183.911,-28.201,-45.91,12.0331,-1.06441,96.2587
9,0.0045,4,2,4,0,0,0,0,0,0,-991.622,-102.196,-745.761,-155.543,-103.894,290.951,0,0,0,0,0,0,-160.397,-28.5774,-22.4611,19.111,-1.45334,89.3895
10,0.005,4,2,4,0,0,0,0,0,0,-826.529,-102.969,-594.367,-125.723,-105.661,254.116,0,0,0,0,0,0,-143.634,-28.7282,-4.69863,24.0561,-1.48892,85.8294
11,0.0055,4,2,4,0,0,0,0,0,0,-702.336,-103.262,-481.836,-106.273,-106.637,229.189,0,0,0,0,0,0,-131.81,-28.5707,8.66906,27.5157,-1.2276,84.2114
12,0.006,4,2,4,0,0,0,0,0,0,-609.367,-103.476,-399.183,-93.6367,-107.123,212.242,0,0,0,0,0,0,-123.177,-28.3364,18.4789,29.8539,-0.825023,83.3075
13,0.0065,4,2,4,0,0,0,0,0,0,-540.444,-103.632,-339.045,-85.4851,-107.371,201.019,0,0,0,0,0,0,-116.933,-27.8497,25.7146,31.4719,-0.302544,82.8471
14,0.007,4,2,4,0,0,0,0,0,0,-489.475,-103.768,-295.456,-80.3002,-107.55,193.653,0,0,0,0,0,0,-112.204,-27.3638,30.7017,32.2765,0.203912,82.3997
15,0.0075,4,2,4,0,0,0,0,0,0,-451.814,-103.801,-263.818,-76.9131,-107.659,188.786,0,0,0,0,0,0,-108.862,-26.7898,34.4012,32.8939,0.782641,82.2415
16,0.008,4,2,4,0,0,0,0,0,0,-423.74,-103.896,-241.087,-74.7671,-107.805,185.506,0,0,0,0,0,0,-106.916,-26.1625,37.242,33.5747,1.38569,82.7845
17,0.0085,4,2,4,0,0,0,0,0,0,-402.348,-104.1,-224.948,-73.532,-108.057,182.952,0,0,0,0,0,0,-105.949,-25.4332,39.5456,34.3846,2.04324,83.6774
18,0.009,4,2,4,0,0,0,0,0,0,-385.736,-104.588,-213.752,-73.1776,-108.505,180.822,0,0,0,0,0,0,-105.44,-24.5813,41.4722,35.2135,2.63637,84.4189
19,0.0095,4,2,4,0,0,0,0,0,0,-372.821,-105.137,-205.867,-73.1707,-109.114,179.183,0,0,0,0,0,0,-104.918,-23.8048,42.959,35.7701,3.20278,84.7219
20,0.01,4,2,4,0,0,0,0,0,0,-362.778,-105.777,-200.429,-73.3452,-109.867,178.093,0,0,0,0,0,0,-104.456,-23.2147,44.2286,36.1371,3.81557,84.7723
21,0.0105,4,2,4,0,0,0,0,0,0,-354.889,-106.443,-196.638,-73.4207,-110.779,177.484,0,0,0,0,0,0,-104.207,-22.8324,45.3995,36.5238,4.50597,85.0414
22,0.011,4,2,4,0,0,0,0,0,0,-348.735,-107.195,-193.959,-73.3014,-111.808,177.391,0,0,0,0,0,0,-104.332,-22.4258,46.4016,36.9526,5.13907,85.581
23,0.0115,4,2,4,0,0,0,0,0,0,-343.554,-107.938,-191.979,-73.1624,-112.765,177.307,0,0,0,0,0,0,-104.574,-21.8896,47.4858,37.6697,5.7959,86.1063
24,0.012,4,2,4,0,0,0,0,0,0,-338.846,-108.654,-190.68,-73.2619,-113.684,176.997,0,0,0,0,0,0,-104.937,-21.4011,48.3604,38.3296,6.3896,86.658
25,0.0125,4,2,4,0,0,0,0,0,0,-334.531,-109.295,-189.882,-73.5372,-114.572,176.576,0,0,0,0,0,0,-105.124,-20.8619,49.0375,38.8478,6.90087,86.8315
26,0.013,4,2,4,0,0,0,0,0,0,-330.592,-109.949,-189.393,-73.8559,-115.434,176.199,0,0,0,0,0,0,-105.283,-20.4139,49.3815,38.8803,7.34085,86.9411
27,0.0135,4,2,4,0,0,0,0,0,0,-327.155,-110.589,-188.949,-73.9785,-116.257,176.057,0,0,0,0,0,0,-105.394,-19.9808,50.0167,39.0763,7.96276,87.0582
28,0.014,4,2,4,0,0,0,0,0,0,-324.148,-111.348,-188.721,-73.9952,-117.18,176.218,0,0,0,0,0,0,-105.529,-19.327,50.9935,39.5625,8.80264,87.0659
29,0.0145,4,2,4,0,0,0,0,0,0,-321.398,-112.221,-188.87,-74.0645,-118.292,176.528,0,0,0,0,0,0,-105.718,-18.8085,51.9376,40.208,9.56485,87.1882
30,0.015,4,2,4,0,0,0,0,0,0,-318.828,-113.155,-189.546,-74.4704,-119.623,176.792,0,0,0,0,0,0,-105.933,-18.4436,52.805,40.8953,10.2621,87.3982
31,0.0155,4,2,4,0,0,0,0,0,0,-316.338,-114.039,-190.303,-74.9739,-120.93,176.933,0,0,0,0,0,0,-106.121,-18.2626,53.4003,41.4209,10.8339,87.6298
32,0.016,4,2,4,0,0,0,0,0,0,-314.051,-114.819,-190.92,-75.3893,-122.11,177.095,0,0,0,0,0,0,-106.241,-18.2978,53.4325,41.4096,11.148,87.9586
33,0.0165,4,2,4,0,0,0,0,0,0,-312.043,-115.543,-191.361,-75.6606,-123.169,177.429,0,0,0,0,0,0,-106.298,-18.1538,53.4007,41.2568,11.4929,88.122
34,0.017,4,2,4,0,0,0,0,0,0,-310.119,-116.17,-191.636,-75.8062,-124.12,177.722,0,0,0,0,0,0,-106.178,-17.61,53.819,41.4031,12.0931,87.9118
