iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,2,4,0,0,0,0,0,0,-11187.2,-2.93617e-14,0,243.432,-3.52429e-12,4488,0,0,0,0,0,0,-8136.03,5.55112e-14,0,161.52,-2.44249e-12,3169.48
0,0,4,2,4,0,0,0,0,0,0,-13886,0.00494246,-1311.63,-179.339,-0.00217942,5271.11,0,0,0,0,0,0,-5282.76,0.0003772,1834.14,737.972,-0.00186399,2302.18
1,0.0005,4,2,4,0,0,0,0,0,0,-10853.3,-2.67757,-3206.73,-802.77,-0.967682,3898.13,0,0,0,0,0,0,-3524.5,4.27451,694.086,278.685,6.83144,1495.98
2,0.001,4,2,4,0,0,0,0,0,0,-7878.21,-48.1665,-3828.88,-950.351,-21.1578,2739.98,0,0,0,0,0,0,-2202.1,-8.64772,-65.6252,28.4326,16.3298,951.375
3,0.0015,4,2,4,0,0,0,0,0,0,-5612.04,-95.4414,-3508.75,-839.81,-55.6343,1900.37,0,0,0,0,0,0,-1371.67,-28.9634,-348.237,-60.6664,13.5344,607.13
4,0.002,4,2,4,0,0,0,0,0,0,-4008.77,-126.561,-2831.16,-654.913,-83.5165,1333.03,0,0,0,0,0,0,-882.379,-43.0018,-376.92,-73.2171,7.66881,398.82
5,0.0025,4,2,4,0,0,0,0,0,0,-2894.97,-144.908,-2133.87,-480.881,-100.565,960.272,0,0,0,0,0,0,-593.445,-51.5358,-310.725,-58.7276,2.61221,274.672
6,0.003,4,2,4,0,0,0,0,0,0,-2125.74,-155.02,-1552.59,-344.483,-108.881,718.537,0,0,0,0,0,0,-418.549,-56.5266,-227.057,-39.099,-0.476284,201.343
7,0.0035,4,2,4,0,0,0,0,0,0,-1596.28,-160.584,-1115.56,-246.946,-111.963,561.47,0,0,0,0,0,0,-309.906,-59.3834,-155.189,-22.2802,-2.04801,158.395
8,0.004,4,2,4,0,0,0,0,0,0,-1234.54,-163.614,-806.089,-180.687,-112.666,459.346,0,0,0,0,0,0,-241.054,-60.797,-101.533,-9.82215,-2.68421,133.565
9,0.0045,4,2,4,0,0,0,0,0,0,-988.679,-165.332,-595.178,-137.183,-112.448,392.508,0,0,0,0,0,0,-196.516,-61.2683,-63.6758,-0.729651,-2.74351,118.915
