iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
0,0,5,5.005,5,0,0.5,0,0,0,0,-39.7996,19.8998,3.98045e-14,-0.000128708,-0.000257417,-0.00168412,0,0,0,0,0,0,-1.75591,1.06178,-0.000108218,0.000155597,0.00154607,-0.000534782
1,0.01,5,5.01,5,0,0.5,0,0,0,0,-31.2262,15.6334,-0.00514812,-0.000362204,-0.000607499,-0.000631837,0,0,0,0,0,0,-1.67959,0.905536,-0.00148751,9.46471e-05,3.21755e-05,-0.0122229
2,0.02,5,5.015,5,0,0.5,0,0,0,0,-19.9664,9.98057,-0.00760757,-0.000562668,-0.000545199,-2.40683e-05,0,0,0,0,0,0,-1.07211,0.532453,-0.00133177,4.80155e-05,-0.000362581,-0.0121081
3,0.03,5,5.02,5,0,0.5,0,0,0,0,-12.7382,6.35024,-0.00752248,-0.000572619,-0.000409596,0.00109316,0,0,0,0,0,0,-0.382274,0.186899,-0.000443274,1.93332e-05,-5.66316e-05,-0.00430303
4,0.04,5,5.025,5,0,0.5,0,0,0,0,-8.61822,4.2811,-0.00576301,-0.000332714,-0.000203336,0.00191218,0,0,0,0,0,0,-5.00513e-16,2.42058e-16,-1.58004e-19,2.82902e-21,1.72697e-22,-9.2158e-18
5,0.05,5,5.03,5,0,0.5,0,0,0,0,-6.15625,3.04597,-0.00340718,-8.25643e-05,-1.13144e-05,0.00278556,0,0,0,0,0,0,0,0,0,0,0,0
6,0.06,5,5.035,5,0,0.5,0,0,0,0,-4.5308,2.2344,-0.00127951,4.93838e-05,5.47575e-05,0.00376892,0,0,0,0,0,0,0,0,0,0,0,0
7,0.07,5,5.04,5,0,0.5,0,0,0,0,-3.37885,1.66291,0.000474681,0.000137285,0.000198239,0.00459658,0,0,0,0,0,0,0,0,0,0,0,0
8,0.08,5,5.045,5,0,0.5,0,0,0,0,-2.5435,1.25085,0.00170855,0.000156628,0.000300324,0.00486071,0,0,0,0,0,0,0,0,0,0,0,0
9,0.09,5,5.05,5,0,0.5,0,0,0,0,-1.94281,0.955585,0.00232183,9.06387e-05,0.000256965,0.0045628,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1,5,5.055,5,0,0.5,0,0,0,0,-1.52036,0.748139,0.00233371,1.06844e-05,0.000156383,0.00430908,0,0,0,0,0,0,0,0,0,0,0,0
11,0.11,5,5.06,5,0,0.5,0,0,0,0,-1.23037,0.605745,0.00198005,-8.43928e-05,-4.60359e-05,0.00395751,0,0,0,0,0,0,0,0,0,0,0,0
12,0.12,5,5.065,5,0,0.5,0,0,0,0,-1.0362,0.510122,0.00140477,-0.000117084,-0.000187524,0.00331045,0,0,0,0,0,0,-0.00323726,0.000949676,2.46051e-05,-1.93732e-07,-5.32768e-06,7.83102e-05
13,0.13,5,5.07,5,0,0.5,0,0,0,0,-0.908686,0.44729,0.000960683,-0.000100694,-0.000202427,0.00246911,0,0,0,0,0,0,-0.0202632,0.00711487,4.71582e-05,7.29413e-06,1.20692e-06,-3.64172e-05
14,0.14,5,5.075,5,0,0.5,0,0,0,0,-0.826096,0.406697,0.000761307,-7.15806e-05,-0.000145696,0.00158264,0,0,0,0,0,0,-0.0286703,0.00975894,0.000128927,1.24123e-05,4.04122e-05,-8.40563e-05
15,0.15,5,5.08,5,0,0.5,0,0,0,0,-0.773515,0.380668,0.000663982,-6.70811e-05,-7.87164e-05,0.000868793,0,0,0,0,0,0,-0.0281396,0.00860204,0.000156377,1.33401e-05,4.6219e-05,0.000116085
16,0.16,5,5.085,5,0,0.5,0,0,0,0,-0.740372,0.364215,0.000450899,-0.000101813,-8.98798e-05,0.00053586,0,0,0,0,0,0,-0.0252245,0.00681294,0.000127578,8.83718e-06,4.11919e-05,1.32713e-05
17,0.17,5,5.09,5,0,0.5,0,0,0,0,-0.719879,0.353953,0.000115599,-0.000171612,-0.000196869,0.000762304,0,0,0,0,0,0,-0.0210981,0.00493227,8.20822e-05,7.50763e-08,1.9407e-05,-0.000514946
18,0.18,5,5.095,5,0,0.5,0,0,0,0,-0.707223,0.347311,-0.000171874,-0.000221836,-0.00030687,0.00137488,0,0,0,0,0,0,-0.0126944,0.00184575,5.5789e-05,-3.64178e-06,5.08799e-06,-0.000757589
19,0.19,5,5.1,5,0,0.5,0,0,0,0,-0.699009,0.342795,-0.000254737,-0.00018677,-0.000332531,0.00220555,0,0,0,0,0,0,-0.00209586,-0.00104213,9.7984e-06,4.37138e-07,-5.91035e-06,-0.000122988
20,0.2,5,5.105,5,0,0.5,0,0,0,0,-0.692386,0.339429,-1.21984e-05,-7.46983e-05,-0.00022964,0.00270959,0,0,0,0,0,0,0,0,0,0,0,0
21,0.21,5,5.11,5,0,0.5,0,0,0,0,-0.685788,0.336531,0.000280078,-9.72933e-06,-0.000142086,0.00299025,0,0,0,0,0,0,0,0,0,0,0,0
22,0.22,5,5.115,5,0,0.5,0,0,0,0,-0.679691,0.333936,0.000505939,3.68794e-05,-4.41871e-05,0.00321933,0,0,0,0,0,0,0,0,0,0,0,0
23,0.23,5,5.12,5,0,0.5,0,0,0,0,-0.674441,0.331813,0.000680338,9.24648e-05,0.000117338,0.00349114,0,0,0,0,0,0,0,0,0,0,0,0
24,0.24,5,5.125,5,0,0.5,0,0,0,0,-0.670042,0.33015,0.000754365,0.000101715,0.000225388,0.00343171,0,0,0,0,0,0,0,0,0,0,0,0
25,0.25,5,5.13,5,0,0.5,0,0,0,0,-0.666306,0.328587,0.000644277,6.64207e-05,0.000224448,0.00319512,0,0,0,0,0,0,0,0,0,0,0,0
26,0.26,5,5.135,5,0,0.5,0,0,0,0,-0.662881,0.32717,0.00038589,6.34943e-06,0.000141812,0.00300902,0,0,0,0,0,0,0,0,0,0,0,0
27,0.27,5,5.14,5,0,0.5,0,0,0,0,-0.659494,0.325728,7.2698e-06,-5.85041e-05,-5.69005e-06,0.00273809,0,0,0,0,0,0,0,0,0,0,0,0
28,0.28,5,5.145,5,0,0.5,0,0,0,0,-0.655773,0.324351,-0.000337292,-7.21094e-05,-0.000118251,0.00222909,0,0,0,0,0,0,-0.00287735,-0.000982153,-6.99568e-06,1.87764e-06,-5.76126e-07,-0.000164599
29,0.29,5,5.15,5,0,0.5,0,0,0,0,-0.651608,0.322936,-0.000448404,-4.83337e-05,-0.00014827,0.00161797,0,0,0,0,0,0,-0.0134327,0.00142794,-5.48313e-05,1.55653e-05,1.75179e-05,-0.000713282
30,0.3,5,5.155,5,0,0.5,0,0,0,0,-0.647182,0.321413,-0.000358627,-2.98593e-05,-0.000115783,0.00110567,0,0,0,0,0,0,-0.020585,0.00299581,-3.72119e-05,2.52624e-05,4.89876e-05,-0.00058734
31,0.31,5,5.16,5,0,0.5,0,0,0,0,-0.642747,0.3199,-0.000247628,-4.08987e-05,-7.60728e-05,0.00073464,0,0,0,0,0,0,-0.0227255,0.00309137,-9.70138e-06,2.33421e-05,5.63878e-05,-0.000414837
32,0.32,5,5.165,5,0,0.5,0,0,0,0,-0.638689,0.318463,-0.000276531,-9.22041e-05,-0.000111905,0.000699032,0,0,0,0,0,0,-0.0224824,0.00270199,-7.30379e-06,1.53647e-05,4.42767e-05,-0.000697796
33,0.33,5,5.17,5,0,0.5,0,0,0,0,-0.635414,0.317017,-0.000406565,-0.000170546,-0.000223621,0.00100059,0,0,0,0,0,0,-0.0185782,0.0017667,-1.22269e-06,4.04592e-06,2.69949e-05,-0.00112276
34,0.34,5,5.175,5,0,0.5,0,0,0,0,-0.632807,0.31549,-0.000480304,-0.000207512,-0.000317571,0.00159183,0,0,0,0,0,0,-0.00916658,-0.000254134,1.51597e-05,-2.67734e-06,3.76114e-06,-0.000880032
35,0.35,5,5.18,5,0,0.5,0,0,0,0,-0.630213,0.313957,-0.000363272,-0.000160928,-0.000323424,0.00222603,0,0,0,0,0,0,-0.000481198,-0.000466053,-1.89598e-07,3.42324e-07,-5.99605e-07,-2.9489e-05
36,0.36,5,5.185,5,0,0.5,0,0,0,0,-0.627034,0.312348,-4.45914e-05,-7.01444e-05,-0.000231216,0.00255742,0,0,0,0,0,0,0,0,0,0,0,0
37,0.37,5,5.19,5,0,0.5,0,0,0,0,-0.623469,0.310732,0.000232299,-2.72158e-05,-0.000153721,0.00276863,0,0,0,0,0,0,0,0,0,0,0,0
38,0.38,5,5.195,5,0,0.5,0,0,0,0,-0.620324,0.309245,0.000448006,2.95905e-05,-2.09836e-05,0.00297487,0,0,0,0,0,0,0,0,0,0,0,0
39,0.39,5,5.2,5,0,0.5,0,0,0,0,-0.617678,0.308063,0.000574485,7.95191e-05,0.000136909,0.00302674,0,0,0,0,0,0,0,0,0,0,0,0
40,0.4,5,5.205,5,0,0.5,0,0,0,0,-0.615733,0.307274,0.000600309,8.81336e-05,0.000227048,0.00295289,0,0,0,0,0,0,0,0,0,0,0,0
41,0.41,5,5.21,5,0,0.5,0,0,0,0,-0.614277,0.306614,0.000468774,5.89961e-05,0.000217929,0.0028681,0,0,0,0,0,0,0,0,0,0,0,0
42,0.42,5,5.215,5,0,0.5,0,0,0,0,-0.612903,0.306078,0.000179387,4.3615e-07,0.000129785,0.00271974,0,0,0,0,0,0,0,0,0,0,0,0
43,0.43,5,5.22,5,0,0.5,0,0,0,0,-0.611544,0.305538,-0.000179966,-4.8755e-05,1.10558e-09,0.00246052,0,0,0,0,0,0,-4.84618e-05,-0.000198002,-2.27536e-08,-7.87084e-09,-3.33524e-09,-5.89797e-06
44,0.44,5,5.225,5,0,0.5,0,0,0,0,-0.60975,0.305048,-0.00043293,-4.67416e-05,-8.64427e-05,0.00205429,0,0,0,0,0,0,-0.00640324,-0.000726496,-2.31049e-05,4.9461e-06,-8.15318e-06,-0.000648789
45,0.45,5,5.23,5,0,0.5,0,0,0,0,-0.607432,0.304475,-0.000452791,-2.79778e-05,-0.000112097,0.0015661,0,0,0,0,0,0,-0.0158438,0.000867529,-2.6312e-05,1.89546e-05,1.51431e-05,-0.00112099
46,0.46,5,5.235,5,0,0.5,0,0,0,0,-0.604867,0.303797,-0.000332161,-1.48373e-05,-7.96478e-05,0.00114464,0,0,0,0,0,0,-0.0207347,0.0013593,-4.87992e-06,2.47809e-05,3.91352e-05,-0.000999824
47,0.47,5,5.24,5,0,0.5,0,0,0,0,-0.602212,0.303063,-0.000253149,-4.28161e-05,-7.04362e-05,0.000899876,0,0,0,0,0,0,-0.021954,0.00120337,9.13013e-06,2.07323e-05,4.29161e-05,-0.000950988
48,0.48,5,5.245,5,0,0.5,0,0,0,0,-0.600037,0.302316,-0.000305908,-0.000109658,-0.000139669,0.000963134,0,0,0,0,0,0,-0.0209182,0.000878378,5.57148e-06,1.07718e-05,3.20117e-05,-0.00132041
49,0.49,5,5.25,5,0,0.5,0,0,0,0,-0.598488,0.301482,-0.00041732,-0.000184857,-0.000259602,0.00131938,0,0,0,0,0,0,-0.0152546,3.80515e-05,1.34147e-05,3.14197e-07,1.84137e-05,-0.00150382
50,0.5,5,5.255,5,0,0.5,0,0,0,0,-0.597347,0.300568,-0.000439202,-0.00019918,-0.000335159,0.00187866,0,0,0,0,0,0,-0.0052097,-0.00106041,9.36176e-06,-8.8044e-07,2.12013e-07,-0.000618538
51,0.51,5,5.26,5,0,0.5,0,0,0,0,-0.595986,0.299655,-0.000238238,-0.000131767,-0.000313685,0.00228258,0,0,0,0,0,0,0,0,0,0,0,0
52,0.52,5,5.265,5,0,0.5,0,0,0,0,-0.594189,0.298681,6.26971e-05,-6.32474e-05,-0.000230867,0.00252254,0,0,0,0,0,0,0,0,0,0,0,0
53,0.53,5,5.27,5,0,0.5,0,0,0,0,-0.592281,0.297724,0.000290559,-1.99663e-05,-0.000140351,0.00271659,0,0,0,0,0,0,0,0,0,0,0,0
