iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0005,4,2,4,0,0,0,0,0,0,1.42109e-14,1739.35,0,815.809,2.4869e-14,2818.41,0,0,0,0,0,0,-0.785284,950.664,-0.463629,625.779,0.949008,1320.5
2,0.001,4,2,4,0,0,0,0,0,0,-10.0895,795.149,5.44663,8.53653,-2.00051,1730.38,0,0,0,0,0,0,-4.31971,374.405,2.87421,226.042,-0.605918,571.95
3,0.0015,4,2,4,0,0,0,0,0,0,-17.112,394.374,7.09897,-320.645,-2.93827,1199.52,0,0,0,0,0,0,-5.1313,140.469,4.08005,57.3899,-1.57044,248.615
4,0.002,4,2,4,0,0,0,0,0,0,-22.1178,237.263,6.83411,-407.261,-2.85038,939.728,0,0,0,0,0,0,-5.68461,55.5613,4.35712,0.257515,-1.77963,124.333
5,0.0025,4,2,4,0,0,0,0,0,0,-25.6694,173.195,6.14651,-394.863,-2.64462,785.094,0,0,0,0,0,0,-6.11334,25.774,4.35951,-14.758,-1.74768,76.046
6,0.003,4,2,4,0,0,0,0,0,0,-28.0777,144.421,5.67654,-347.404,-2.79205,673.524,0,0,0,0,0,0,-6.481,15.7913,4.30934,-15.4436,-1.66542,56.0176
7,0.0035,4,2,4,0,0,0,0,0,0,-29.6196,129.348,5.59199,-291.649,-3.36975,583.892,0,0,0,0,0,0,-6.66356,12.6144,4.27102,-11.9848,-1.63663,46.1272
8,0.004,4,2,4,0,0,0,0,0,0,-30.5608,119.871,5.86861,-238.418,-4.28753,509.126,0,0,0,0,0,0,-6.75531,11.7073,4.20265,-7.8523,-1.61809,40.0824
9,0.0045,4,2,4,0,0,0,0,0,0,-31.0748,112.926,6.46555,-191.654,-5.48477,446.546,0,0,0,0,0,0,-6.8563,11.3845,4.12579,-4.17163,-1.56605,35.6558
10,0.005,4,2,4,0,0,0,0,0,0,-31.3387,107.268,7.31132,-152.339,-6.84965,394.468,0,0,0,0,0,0,-6.86492,11.1251,4.04905,-1.28134,-1.53887,32.0228
11,0.0055,4,2,4,0,0,0,0,0,0,-31.4309,102.294,8.33533,-120.195,-8.30791,351.32,0,0,0,0,0,0,-6.92759,10.9394,4.01503,0.941356,-1.5209,29.2062
12,0.006,4,2,4,0,0,0,0,0,0,-31.409,97.834,9.49032,-94.3385,-9.81873,315.778,0,0,0,0,0,0,-6.91089,10.737,4.0145,2.58382,-1.5584,26.9008
13,0.0065,4,2,4,0,0,0,0,0,0,-31.3209,93.8804,10.71,-73.7215,-11.3234,286.708,0,0,0,0,0,0,-6.92129,10.4482,4.08516,3.82481,-1.64011,24.989
14,0.007,4,2,4,0,0,0,0,0,0,-31.187,90.4102,11.9207,-57.3854,-12.7623,262.984,0,0,0,0,0,0,-6.89014,10.1336,4.13414,4.75229,-1.70464,23.3879
15,0.0075,4,2,4,0,0,0,0,0,0,-31.0225,87.3601,13.0659,-44.5271,-14.0921,243.614,0,0,0,0,0,0,-6.88512,9.75271,4.16629,5.37194,-1.7389,21.9743
16,0.008,4,2,4,0,0,0,0,0,0,-30.858,84.6379,14.122,-34.472,-15.2942,227.746,0,0,0,0,0,0,-6.90276,9.39563,4.19877,5.85282,-1.75563,20.8436
17,0.0085,4,2,4,0,0,0,0,0,0,-30.7191,82.1343,15.1137,-26.6662,-16.4004,214.624,0,0,0,0,0,0,-6.9303,9.04246,4.24001,6.18412,-1.77813,19.8797
18,0.009,4,2,4,0,0,0,0,0,0,-30.6172,79.8137,16.0595,-20.641,-17.4371,203.716,0,0,0,0,0,0,-6.97862,8.7244,4.29232,6.40064,-1.80028,19.0458
19,0.0095,4,2,4,0,0,0,0,0,0,-30.589,77.656,16.9584,-15.9944,-18.3944,194.603,0,0,0,0,0,0,-6.95492,8.42895,4.33137,6.49777,-1.84359,18.2615
